company_name,ticker,country,exchange,currency,source,source_sector,source_industry,research_sector,market_cap,research_status,target_price,target_currency,last_report_date,active,source_status,first_seen,last_seen,review_note
Prince Pipes And Fittings Ltd,PRINCEPIPE,India,NSE,INR,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,305988909.905,UNDEFINED,,INR,,TRUE,PRESENT,2026-08-18,2026-09-25,
Nam Cheong Limited,1MZ,Singapore,SGX,SGD,TRADINGVIEW_SCREENER,Producer Manufacturing,Trucks/Construction/Farm Machinery,MACHINERY,305946740.6952,UNDEFINED,,SGD,,FALSE,PRESENT,2026-08-18,2026-09-25,Broad industry; review for shipbuilding/construction-equipment.
"HLB innoVation Co., Ltd.",024850,South Korea,KRX,KRW,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,305318972.684232,UNDEFINED,,KRW,,FALSE,REMOVED,2026-08-18,2026-08-18,Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-20; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-24; review before deletion. | Removed from source universe on 2026-08-25; review before deletion. | Removed from source universe on 2026-08-26; review before deletion. | Removed from source universe on 2026-08-27; review before deletion. | Removed from source universe on 2026-08-30; review before deletion. | Removed from source universe on 2026-09-06; review before deletion.
"Key Ware Electronics Co., Ltd.",5498,Taiwan,TPEX,TWD,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,305077002.367268,UNDEFINED,,TWD,,TRUE,PRESENT,2026-08-18,2026-09-25,
"Sansei Yusoki Co., Ltd.",SKUYF,Japan,OTC,USD,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,303389492.5139839,UNDEFINED,,USD,,FALSE,REMOVED,2026-08-18,2026-08-18,Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-20; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-24; review before deletion. | Removed from source universe on 2026-08-25; review before deletion. | Removed from source universe on 2026-08-26; review before deletion. | Removed from source universe on 2026-08-27; review before deletion. | Removed from source universe on 2026-08-30; review before deletion. | Removed from source universe on 2026-09-06; review before deletion.
Kilburn Engineering Ltd,KLBRENG_B,India,NSE,INR,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,303256284.93937,UNDEFINED,,INR,,TRUE,PRESENT,2026-08-18,2026-09-25,
"Linhai Co., Ltd. Class A",600099,China,SSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Trucks/Construction/Farm Machinery,MACHINERY,303023099.68956,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,Broad industry; review for shipbuilding/construction-equipment.
XANO Industri AB Class B,0RQ7,Sweden,LSE,SEK,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,301890923.1678,UNDEFINED,,SEK,,FALSE,REMOVED,2026-08-18,2026-08-18,Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-20; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-24; review before deletion. | Removed from source universe on 2026-08-25; review before deletion. | Removed from source universe on 2026-08-26; review before deletion. | Removed from source universe on 2026-08-27; review before deletion. | Removed from source universe on 2026-08-30; review before deletion. | Removed from source universe on 2026-09-06; review before deletion.
Shandong Swan Cotton Industrial Machinery Stock Co. Ltd. Class A,603029,China,SSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,301832221.32702,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
Envipco Holding N.V.,ENVIP,Netherlands,OSL,NOK,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,301484730.16872,UNDEFINED,,NOK,,FALSE,REMOVED,2026-08-18,2026-08-18,Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-20; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-24; review before deletion. | Removed from source universe on 2026-08-25; review before deletion. | Removed from source universe on 2026-08-26; review before deletion. | Removed from source universe on 2026-08-27; review before deletion. | Removed from source universe on 2026-08-30; review before deletion. | Removed from source universe on 2026-09-06; review before deletion.
Talbros Automotive Components Limited,TALBROAUTO,India,NSE,INR,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,301116772.52062,UNDEFINED,,INR,,TRUE,PRESENT,2026-08-18,2026-09-25,
"Hangzhou Chuhuan Science & Technology Co., Ltd. Class A",001336,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,300408077.26044,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
"Nittoku Co., Ltd.",6145,Japan,TSE,JPY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,299184071.837904,UNDEFINED,,JPY,,FALSE,REMOVED,2026-08-18,2026-09-24,Removed from source universe on 2026-09-25; review before deletion.
Nak Sealing Technologies Corporation,9942,Taiwan,TWSE,TWD,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,297674793.366716,UNDEFINED,,TWD,,FALSE,PRESENT,2026-08-18,2026-09-25,
"Hisaka Works,Ltd.",6247,Japan,TSE,JPY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,297623351.53728,UNDEFINED,,JPY,,FALSE,REMOVED,2026-08-18,2026-09-24,Removed from source universe on 2026-09-25; review before deletion.
"Tangshan Jidong Equipment Engineering Co., Ltd. Class A",000856,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,297362742.40098,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
Tianjin Meiteng Technology Co. Ltd. Class A,688420,China,SSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Trucks/Construction/Farm Machinery,MACHINERY,297067294.60002,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,Broad industry; review for shipbuilding/construction-equipment.
"Zhejiang Linuo Flow Control Technology Co., Ltd. Class A",300838,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,295972817.22918,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
